PZN;Artikelname;DF;PM;PE;Herstellerk¸rzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
10816671;1.5G GLAESER GLOB BRAUNGL;;880;St;LANSC;ja;1;57,50;67,23;79,95;80,00;79,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
9377769;5 HTP 50MG GPH KAPSELN;KAP;60;St;HECHT;ja;1;17,51;14,32;22,95;25,30;22,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
1433391;A Z KOMPLEX RATIOPHARM;TAB;100;St;RATIO;ja;6;22,02;12,33;21,95;32,50;21,95;;0,00;;nein;Nein;Nein;ja;Nein
1433379;A Z KOMPLEX RATIOPHARM;TAB;30;St;RATIO;ja;5;7,52;6,21;12,50;12,50;12,50;;0,00;;nein;Nein;Nein;ja;Nein
3243370;A29 HAAR AKTIV KAPSEL PLUS;KAP;30;St;ALSIT;ja;2;8,50;8,27;12,95;12,99;12,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
1033409;ABC WAE SEN HANSAPLAST MED;PFL;4;St;BEIER;ja;3;7,41;5,90;9,95;10,95;9,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2295815;ABC WAERME HANSAPLAST MED;CRE;50;g;BEIER;ja;3;6,53;4,89;10,65;12,20;10,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2295643;ABC WAERME HANSAPLAST MED;PFL;2;St;BEIER;ja;2;7,75;5,69;9,80;10,95;9,80;;0,00;EEK + 45%;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4200078;ABROTANUM D12;GLO;10;g;DHU;ja;1;6,26;4,58;11,70;11,70;11,70;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
5388492;ABTEI BIOTIN 10MG;TAB;30;St;OMGPH;ja;1;7,06;6,05;6,95;7,09;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1568406;ABWURFBEHAELTER SHARPS 1L;;1;St;DAHLH;ja;16;2,70;1,86;3,95;0,00;3,95;;0,00;MedProd1;nein;Nein;Nein;nein, kein Lebensmittel;Nein
6302311;ACC AKUT 200;BTA;20;St;HEXAL;ja;0;5,11;5,08;9,50;9,54;9,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6197481;ACC AKUT 600;BTA;10;St;HEXAL;ja;0;5,91;5,91;10,95;11,04;10,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10808;ACC AKUT 600;BTA;20;St;HEXAL;ja;0;10,21;10,16;17,95;17,98;17,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
520917;ACC AKUT 600;BTA;40;St;HEXAL;ja;8;17,45;17,37;29,65;29,69;29,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6964615;ACC KINDERSAFT;LSE;100;ml;HEXAL;ja;5;3,67;1,85;6,95;7,08;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
7798449;ACCU CHEK AVIVA PLASMA II;TTR;50;St;MED02;ja;19;19,90;16,69;26,95;0,00;26,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
9749969;ACCU CHEK FASTCLIX LANZET;LAN;204;St;MED02;ja;2;18,71;10,99;19,95;0,00;19,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7234971;ACCU CHEK FASTCLIX LANZETT;LAN;24;St;ROCH;ja;1;3,07;3,04;4,60;4,64;4,60;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
11113658;ACCU CHEK FASTCLIX MOD II;;1;St;ROCH;ja;1;16,30;1,99;23,45;23,49;23,45;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
15618556;ACCU CHEK GUIDE;TTR;50;St;MED02;ja;10;16,90;13,99;22,95;0,00;22,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
17425502;ACCU CHEK INSTANT TESTSTR;TTR;50;St;MED02;ja;2;16,90;16,39;22,95;0,00;22,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16796165;ACCU CHEK INSTANT TESTSTRE;TTR;1X50;St;ROCH;ja;1;17,00;16,39;22,95;25,99;22,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10270545;ACCU CHEK MOB TESTKASSETTE;TTR;50;St;ROCH;ja;3;26,02;20,69;34,95;36,50;34,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
6143663;ACCU CHEK SAFE T PRO UN II;LAN;200;St;ROCH;ja;2;19,90;14,95;27,95;29,90;27,95;;0,00;MedProd;nein;Nein;Ja;nein, kein Lebensmittel;Nein
4522511;ACCU CHEK SOFTCLIX LANZETT;LAN;200;St;ROCH;ja;1;18,82;13,31;28,45;28,45;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7283633;ACETON;;250;ml;FISHA;ja;1;0,00;2,61;4,95;0,00;4,95;;0,00;OTC neu ohne EK;nein;Ja;Nein;nein, kein Lebensmittel;Nein
7474362;ACETON DAB/USP23 MIT PZ;;1;l;HEDIN;ja;2;0,00;6,83;11,65;0,00;11,65;;0,00;;nein;Ja;Nein;keine Angabe;Nein
8654310;ACIC CREME BEI LIPPENHERP;CRE;2;g;HEXAL;ja;5;2,81;2,23;5,40;5,41;5,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2286360;ACICLOVIR RATIO LIPPENHERP;CRE;2;g;RATIO;ja;34;2,65;1,08;4,95;5,11;4,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2262804;ACID ACETICUM GLAC 99%;;250;ml;INTDR;ja;1;0,00;6,60;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
2263531;ACID LACTICUM;;100;ml;INTDR;ja;1;0,00;10,05;11,85;0,00;11,85;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
3917816;ACIDUM SALICY C VAS ALB50%;SAL;100;g;LAMOT;ja;1;10,96;7,69;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
16351285;ACIMOL 500MG FILMTABLETTEN;FTA;96;St;PFLEG;ja;1;13,47;11,03;22,97;22,97;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
1448553;ACONIT OHRENTROPFEN;OHT;10;ml;WALA;ja;1;4,22;4,22;7,85;7,89;7,85;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1448576;ACONIT SCHMERZOEL;OEL;100;ml;WALA;ja;2;8,97;7,47;15,80;15,80;15,80;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1448582;ACONIT SCHMERZOEL;OEL;50;ml;WALA;ja;1;5,63;4,75;9,95;10,52;9,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2890742;ACONITUM C30;GLO;10;g;DHU;ja;2;5,98;5,15;10,95;11,17;10,95;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1755060;ACONITUM D 6;GLO;10;g;DHU;ja;1;5,72;5,47;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2812883;ACONITUM D12;GLO;10;g;DHU;ja;4;5,72;4,00;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1755083;ACONITUM D30;GLO;10;g;DHU;ja;1;5,98;5,48;10,95;11,17;10,95;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1617777;ACTINICA LOTION DISPENSER;LOT;80;g;GALDE;ja;1;18,79;15,97;30,20;30,22;30,20;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
2252562;ADAPTIC 7.6X20.3CM 2015;;24;St;3MMED;ja;3;69,60;29,64;52,95;0,00;52,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
1094552;ADEPS LANAE ANHYDR WOLLWAC;SAL;100;g;CAELO;ja;1;7,95;5,99;10,30;0,00;10,30;;0,00;;nein;Ja;Nein;keine Angabe;Nein
2264051;ADEPS SOLIDUS;;250;g;INTDR;ja;1;9,85;8,74;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Keine Angabe
10810444;ADRISIN;TAB;50;St;HEEL;ja;1;7,24;6,63;13,50;13,53;13,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1076152;AEROPART STW 1000 FL;;1000;ml;HUM G;ja;2;7,16;2,29;4,95;10,65;4,95;;0,00;MedProd2;nein;Nein;Ja;nein, kein Lebensmittel;Nein
4201681;AESCULUS D12;GLO;10;g;DHU;ja;1;6,26;5,61;11,70;11,70;11,70;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
