PZN;Artikelname;DF;PM;PE;Herstellerkürzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
10337491;5HTP 50MG JUNEK KAPSELN;KAP;60;St;BIOSN;ja;1;16,34;14,81;23,60;23,60;0,00;;0,00;;nein;Nein;Nein;ja;Nein
1433379;A Z KOMPLEX RATIOPHARM;TAB;30;St;RATIO;ja;1;7,52;6,58;8,95;12,50;8,95;;0,00;;nein;Nein;Nein;ja;Nein
1033409;ABC WAE SEN HANSAPLAST MED;PFL;4;St;BEIER;ja;0;7,41;6,02;9,95;10,95;9,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2295643;ABC WAERME HANSAPLAST MED;PFL;2;St;BEIER;ja;2;7,75;5,69;8,95;10,95;8,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
5388492;ABTEI BIOTIN 10MG;TAB;30;St;OMGPH;ja;0;7,06;4,59;6,95;7,09;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6302311;ACC AKUT 200;BTA;20;St;HEXAL;ja;0;5,11;3,04;9,50;9,54;9,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6197481;ACC AKUT 600;BTA;10;St;HEXAL;ja;0;5,91;5,91;10,95;11,04;10,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10808;ACC AKUT 600;BTA;20;St;HEXAL;ja;0;10,21;8,60;17,95;17,98;17,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6964615;ACC KINDERSAFT;LSE;100;ml;HEXAL;ja;3;3,67;1,85;6,95;7,08;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6114963;ACCU CHEK AVIVA PLASMA II;TTR;1X50;St;ROCH;ja;17;20,00;17,10;26,95;27,99;26,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7234988;ACCU CHEK FASTCLIX LANZETT;LAN;204;St;ROCH;ja;2;18,82;13,48;28,45;28,45;28,45;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
11664909;ACCU CHEK GUIDE TESTSTREIF;TTR;1X50;St;ROCH;ja;9;17,00;15,39;22,95;25,99;22,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16796165;ACCU CHEK INSTANT TESTSTRE;TTR;1X50;St;ROCH;ja;2;17,00;15,97;25,99;25,99;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10270545;ACCU CHEK MOB TESTKASSETTE;TTR;50;St;ROCH;ja;3;26,02;20,69;34,95;36,50;34,95;;0,00;Teststreifen;nein;Nein;Ja;nein, kein Lebensmittel;Nein
6143663;ACCU CHEK SAFE T PRO UN II;LAN;200;St;ROCH;ja;0;19,90;14,95;29,90;29,90;29,90;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7474362;ACETON DAB/USP23 MIT PZ;;1;l;HEDIN;ja;1;0,00;6,71;11,70;0,00;11,70;;0,00;;nein;Ja;Nein;keine Angabe;Nein
2286360;ACICLOVIR RATIO LIPPENHERP;CRE;2;g;RATIO;ja;18;2,65;1,08;4,95;5,11;4,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
9308627;ACIDUM SORBICUM;;25;g;CAELO;ja;1;10,50;7,47;18,10;0,00;18,10;;0,00;Handverkauf (EK);nein;Ja;Nein;nein, kein Lebensmittel;Nein
2766309;ACIMOL MIT PH TESTSTREIFEN;FTA;96;St;PFLEG;ja;1;15,26;14,04;25,95;25,97;25,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1448582;ACONIT SCHMERZOEL;OEL;50;ml;WALA;ja;1;5,63;4,52;9,95;10,52;9,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
